DOID:0001816	angiosarcoma
DOID:0050227	Vibrio cholerae O139 cholera
DOID:0050228	amebic dysentery
DOID:0050229	Escherichia coli dysentery
DOID:0050230	intestinal capillariasis
DOID:0050231	hepatic capillariasis
DOID:0050232	pulmonary capillariasis
DOID:0050233	Balamuthia mandrillaris infectious disease
DOID:0050234	Acanthamoeba infectious disease
DOID:0050235	Alveolata infectious disease
DOID:0050236	Heterolobosea infectious disease
DOID:0050237	Euglenozoa infectious disease
DOID:0050238	Parabasalia infectious disease
DOID:0050239	Fornicata infectious disease
DOID:0050240	Trichomonadida infectious disease
DOID:0050241	Tritrichomonadida infectious disease
DOID:0050242	primary amebic meningoencephalitis
DOID:0050243	Apicomplexa infectious disease
DOID:0050244	Coccidia infectious disease
DOID:0050245	Aconoidasida infectious disease
DOID:0050246	granulomatous amebic encephalitis
DOID:0050247	parasitic stramenopiles infectious disease
DOID:0050249	Brugia timori filariasis
DOID:0050250	philophthalmiasis
DOID:0050251	coenurosis
DOID:0050252	Dipylidium caninum infectious disease
DOID:0050253	mesocestoidiasis
DOID:0050254	acanthocephaliasis
DOID:0050255	Uncinaria stenocephala infectious disease
DOID:0050256	angiostrongyliasis
DOID:0050257	Angiostrongylus cantonensis infectious disease
DOID:0050258	Angiostrongylus costaricensis infectious disease
DOID:0050259	baylisascariasis
DOID:0050260	dioctophymiasis
DOID:0050261	thelaziasis
DOID:0050262	Acoelomata infectious disease
DOID:0050263	Pseudocoelomata infectious disease
DOID:0050264	Acanthocephala infectious disease
DOID:0050265	tick paralysis
DOID:0050266	tungiasis
DOID:0050267	Ancylostoma caninum ancylostomiasis
DOID:0050268	ophthalmomyiasis
DOID:0050269	Trichomonas vaginalis trichomoniasis
DOID:0050270	Trichomonas tenax trichomoniasis
DOID:0050271	cutaneous ascomycota mycosis
DOID:0050272	cutaneous basidiomycota mycosis
DOID:0050273	Neoscytalidium dimidiatum infectious disease
DOID:0050274	Scopulariopsis infectious disease
DOID:0050275	onychomycosis
DOID:0050276	subcutaneous ascomycota mycosis
DOID:0050277	subcutaneous fungi incertae sedis mycosis
DOID:0050278	basidiobolomycosis
DOID:0050279	conidiobolomycosis
DOID:0050280	superficial ascomycota mycosis
DOID:0050281	superficial basidiomycota mycosis
DOID:0050282	primary systemic ascomycota mycosis
DOID:0050283	Stachybotrys infectious disease
DOID:0050284	opportunistic ascomycota mycosis
DOID:0050285	opportunistic basidiomycota mycosis
DOID:0050286	opportunistic fungi incertae sedis mycosis
DOID:0050287	opportunistic microsporidia mycosis
DOID:0050288	penicilliosis
DOID:0050289	fusariosis
DOID:0050290	trichosporonosis
DOID:0050291	parasitic Ichthyosporea infectious disease
DOID:0050292	primary systemic mycosis
DOID:0050293	Scopulariopsis brevicaulis infectious disease
DOID:0050294	Scytalidium hyalinum infectious disease
DOID:0050295	cutaneous sporotrichosis
DOID:0050296	Asfarviridae infectious disease
DOID:0050297	primary Francisellaceae infectious disease
DOID:0050298	adenovirus infectious disease
DOID:0050299	Simplexvirus infectious disease
DOID:0050300	Deltavirus infectious disease
DOID:0050301	Polyomaviridae infectious disease
DOID:0050302	Varicellovirus infectious disease
DOID:0050303	Hepacivirus infectious disease
DOID:0050304	aniseikonia
DOID:0050305	Arteriviridae infectious disease
DOID:0050306	familial abdominal aortic aneurysm
DOID:0050307	Bornaviridae infectious disease
DOID:0050308	Alkhurma hemorrhagic fever
DOID:0050309	Measles virus infectious disease
DOID:0050310	primary Listeriaceae infectious disease
DOID:0050311	primary Helicobacteraceae infectious disease
DOID:0050312	primary Campylobacteraceae infectious disease
DOID:0050313	primary Brucellaceae infectious disease
DOID:0050314	primary Erysipelotrichaceae infectious disease
DOID:0050315	commensal Clostridiaceae infectious disease
DOID:0050316	commensal Staphylococcaceae infectious disease
DOID:0050317	commensal Streptococcaceae infectious disease
DOID:0050318	primary Burkholderiaceae infectious disease
DOID:0050319	primary Legionellaceae infectious disease
DOID:0050320	commensal Alcaligenaceae infectious disease
DOID:0050321	opportunistic Pseudomonadaceae infectious disease
DOID:0050322	primary Vibrionaceae infectious disease
DOID:0050323	primary Coxiellaceae infectious disease
DOID:0050324	physical disorder OBSOLETED TERM
DOID:0050325	genetic disorder
DOID:0050327	peripheral dysostosis
DOID:0050328	congenital hypothyroidism
DOID:0050329	mental disorder
DOID:0050331	LADD syndrome
DOID:0050332	enlarged vestibular aqueduct
DOID:0050333	congenital anosmia
DOID:0050334	thiourea tasting
DOID:0050335	bradyopsia
DOID:0050336	hypophosphatemia
DOID:0050337	Burkholderia cepacia infectious disease
DOID:0050338	primary bacterial infectious disease
DOID:0050339	commensal bacterial infectious disease
DOID:0050340	opportunistic bacterial infectious disease
DOID:0050341	opportunistic Actinomycetales infectious disease
DOID:0050342	commensal Actinomycetales infectious disease
DOID:0050343	Gardnerella vaginalis vaginosis
DOID:0050344	commensal Bifidobacteriaceae infectious disease
DOID:0050345	primary Thermomonosporaceae infectious disease
DOID:0050346	primary Corynebacteriaceae infectious disease
DOID:0050347	primary Mycobacteriaceae infectious disease
DOID:0050348	primary Streptomycetaceae infectious disease
DOID:0050349	opportunistic Nocardiaceae infectious disease
DOID:0050350	primary Clostridiaceae infectious disease
DOID:0050351	primary Clostridium infectious disease
DOID:0050352	foodborne botulism
DOID:0050353	wound botulism
DOID:0050354	infant botulism
DOID:0050355	opportunistic Burkholderiaceae infectious disease
DOID:0050357	Burkholderia cenocepacia infectious disease
DOID:0050358	commensal Chlamydiaceae infectious disease
DOID:0050359	Bilophila wadsworthia necrotizing fasciitis
DOID:0050360	commensal Enterobacteriaceae infectious disease
DOID:0050361	opportunistic Enterobacteriaceae infectious disease
DOID:0050362	Elizabethkingia meningoseptica infectious disease
DOID:0050363	Capnocytophaga canimorsus infectious disease
DOID:0050364	opportunistic Flavobacteriaceae infectious disease
DOID:0050365	Chryseobacterium indologenes infectious disease
DOID:0050366	Empedobacter brevis endophthalmitis
DOID:0050367	Myroides odoratus necrotizing fasciitis
DOID:0050368	commensal Fusobacteriaceae infectious disease
DOID:0050369	primary Mycoplasmataceae infectious disease
DOID:0050370	commensal Neisseriaceae infectious disease
DOID:0050371	commensal Pasteurellaceae infectious disease
DOID:0050372	commensal Haemophilus infectious disease
DOID:0050373	Leptospiraceae infectious disease
DOID:0050374	Spirochaetaceae infectious disease
DOID:0050375	primary Spirillaceae infectious disease
DOID:0050376	anaplasmosis
DOID:0050377	Burkholderia cepacia complex infectious disease
DOID:0050378	opportunistic Campylobacteraceae infectious disease
DOID:0050379	Campylobacter fetus infectious disease
DOID:0050380	Campylobacter coli infectious disease
DOID:0050381	Chlamydia trachomatis epididymitis
DOID:0050382	glandular tularemia
DOID:0050383	typhoidal tularemia
DOID:0050384	commensal Helicobacteraceae infectious disease
DOID:0050385	commensal Helicobacter infectious disease
DOID:0050386	Acinetobacter baumannii pneumonia
DOID:0050387	nonpapillary renal cell carcinoma
DOID:0050388	Bacteroides fragilis peritonitis
DOID:0050389	Capnocytophaga canimorsus meningitis
DOID:0050390	Capnocytophaga canimorsus endocarditis
DOID:0050391	Elizabethkingia meningoseptica meningitis
DOID:0050392	streptococcal necrotizing fasciitis
DOID:0050393	Chryseobacterium indologenes pneumonia
DOID:0050394	nocardial pneumonia
DOID:0050395	nocardial cellulitis
DOID:0050396	nocardial keratitis
DOID:0050397	cerebral Bilophila wadsworthia infectious disease
DOID:0050398	Carrion's disease
DOID:0050399	Bordetella pertussis whooping cough
DOID:0050400	Pseudomonas urinary tract infectious disease
DOID:0050401	Pseudomonas endocarditis
DOID:0050402	Pseudomonas keratitis
DOID:0050403	commensal Mycoplasmatales infectious disease
DOID:0050404	commensal Mycoplasmataceae infectious disease
DOID:0050405	Mycoplasma genitalium urethritis
DOID:0050406	Yersinia pseudotuberculosis mesenteric lymphadenitis
DOID:0050407	commensal Mycoplasma infectious disease
DOID:0050408	Staphylococcus aureus ecthyma
DOID:0050409	Streptococcus pyogenes ecthyma
DOID:0050410	streptococcal erysipelas
DOID:0050411	Staphylococcus aureus erysipelas
DOID:0050412	Streptococcus impetigo
DOID:0050413	Staphylococcus aureus impetigo
DOID:0050414	Streptococcus lymphangitis
DOID:0050415	Staphylococcus aureus lymphangitis
DOID:0050416	Streptococcus agalactiae meningitis
DOID:0050417	Streptococcus equisimilis meningitis
DOID:0050418	Streptococcus zooepidemicus meningitis
DOID:0050419	complement factor I deficiency
DOID:0050420	primary Streptococcaceae infectious disease
DOID:0050421	primary streptococcal infectious disease
DOID:0050422	Yersinia pseudotuberculosis gastroenteritis
DOID:0050423	enteroaggregative Escherichia coli infectious disease
DOID:0050424	familial adenomatous polyposis
DOID:0050425	restless legs syndrome
DOID:0050426	Stevens-Johnson syndrome
DOID:0050427	xeroderma pigmentosum
DOID:0050428	nonepidermolytic palmoplantar keratoderma
DOID:0050429	Hailey-Hailey disease
DOID:0050430	multiple endocrine neoplasia type 2A
DOID:0050431	arrhythmogenic right ventricular cardiomyopathy
DOID:0050432	Asperger syndrome
DOID:0050433	fatal familial insomnia
DOID:0050434	Andersen-Tawil syndrome
DOID:0050436	mulibrey nanism
DOID:0050437	Danon disease
DOID:0050438	Frasier syndrome
DOID:0050439	Usher syndrome
DOID:0050440	familial partial lipodystrophy
DOID:0050441	mucosulfatidosis
DOID:0050444	infantile Refsum disease
DOID:0050445	X-linked hypophosphatemic rickets
DOID:0050448	hereditary mucosal leukokeratosis
DOID:0050449	pachyonychia congenita
DOID:0050450	Gitelman syndrome
DOID:0050451	Brugada syndrome
DOID:0050452	mevalonic aciduria
DOID:0050453	lissencephaly
DOID:0050454	periventricular nodular heterotopia
DOID:0050455	arachnodactyly
DOID:0050456	Buruli ulcer disease
DOID:0050457	Sertoli cell-only syndrome
DOID:0050458	juvenile myelomonocytic leukemia
DOID:0050459	hyperphosphatemia
DOID:0050460	Wolf-Hirschhorn syndrome
DOID:0050461	aspartylglucosaminuria
DOID:0050462	Antley-Bixler syndrome
DOID:0050463	campomelic dysplasia
DOID:0050464	Farber lipogranulomatosis
DOID:0050465	Muir-Torre syndrome
DOID:0050466	Loeys-Dietz syndrome
DOID:0050467	erythrokeratodermia variabilis
DOID:0050468	yellow nail syndrome
DOID:0050469	Costello syndrome
DOID:0050470	Donohue syndrome
DOID:0050471	Carney complex
DOID:0050472	monilethrix
DOID:0050473	Alstrom syndrome
DOID:0050474	Netherton syndrome
DOID:0050475	Weill-Marchesani syndrome
DOID:0050476	Barth syndrome
DOID:0050477	Liddle syndrome
DOID:0050478	primary Escherichia coli infectious disease
DOID:0050479	commensal Klebsiella infectious disease
DOID:0050480	epidemic typhus
DOID:0050481	endemic typhus
DOID:0050482	lymphangitis-associated rickettsiosis
DOID:0050483	Rickettsia aeschlimannii spotted fever
DOID:0050484	aneruptive fever
DOID:0050485	sennetsu fever
DOID:0050486	exanthem
DOID:0050487	bacterial exanthem
DOID:0050488	early congenital syphilis
DOID:0050489	multinodular goiter
DOID:0050490	parenchymatous neurosyphilis
DOID:0050491	meningovascular neurosyphilis
DOID:0050492	tertiary syphilitic encephalitis
DOID:0050493	tertiary syphilitic meningitis
DOID:0050494	Papillomaviridae infectious disease
DOID:0050495	exanthema subitum
DOID:0050496	Banna virus encephalitis
DOID:0050497	Anelloviridae infectious disease
DOID:0050498	dsDNA virus infectious disease
DOID:0050499	ssDNA virus infectious disease
DOID:0050500	dsDNA-RT virus infectious disease
DOID:0050501	dsRNA virus infectious disease
DOID:0050502	(+)ssRNA virus infectious disease
DOID:0050503	(-)ssRNA virus infectious disease
DOID:0050504	ssRNA-RT virus infectious disease
DOID:0050505	human papilloma virus related anal squamous cell carcinoma
DOID:0050506	human papilloma virus related vaginal squamous cell carcinoma
DOID:0050507	AIDS-related cryptosporidiosis
DOID:0050508	variola major
DOID:0050509	AIDS-related toxoplasmosis
DOID:0050510	AIDS-related cystoisosporiasis
DOID:0050511	Human torovirus gastroenteritis
DOID:0050512	Saffold virus gastroenteritis
DOID:0050513	spinal polio
DOID:0050514	bulbospinal polio
DOID:0050515	paralytic poliomyelitis
DOID:0050516	O'nyong'nyong fever
DOID:0050517	Barmah Forest virus disease
DOID:0050518	Ross River fever
DOID:0050519	Lymphocytic choriomeningitis virus meningitis
DOID:0050520	Lymphocytic choriomeningitis virus meningoencephalitis
DOID:0050521	Oropouche fever
DOID:0050522	Balkan hemorrhagic fever
DOID:0050523	adult T-cell leukemia
DOID:0050524	maturity-onset diabetes of the young
DOID:0050525	acroosteolysis
DOID:0050526	Gamstorp-Wohlfart syndrome
DOID:0050527	familial hypertriglyceridemia
DOID:0050528	nonphotosensitive trichothiodystrophy
DOID:0050529	adult spinal muscular atrophy
DOID:0050530	intermediate spinal muscular atrophy
DOID:0050531	lentiginosis profusa
DOID:0050532	epidermal nevus
DOID:0050533	soldiers heart
DOID:0050534	congenital stationary night blindness
DOID:0050535	exudative vitreoretinopathy
DOID:0050536	SC phocomelia syndrome
DOID:0050537	posterior polar cataract
DOID:0050538	Charcot-Marie-Tooth disease type 1
DOID:0050539	Charcot-Marie-Tooth disease type 2
DOID:0050540	Charcot-Marie-Tooth disease type 3
DOID:0050541	Charcot-Marie-Tooth disease type 4
DOID:0050542	Charcot-Marie-Tooth disease type X
DOID:0050543	Charcot-Marie-Tooth disease intermediate type
DOID:0050544	hypermethioninemia
DOID:0050545	visceral heterotaxy
DOID:0050546	congenital adrenal insufficiency
DOID:0050547	familial medullary thyroid carcinoma
DOID:0050548	hereditary sensory neuropathy
DOID:0050549	Saldino-Noonan syndrome
DOID:0050550	Majewski syndrome
DOID:0050551	Verma-Naumoff syndrome
DOID:0050553	JMP syndrome
DOID:0050554	X-linked sideroblastic anemia with ataxia
DOID:0050556	infantile onset spinocerebellar ataxia
DOID:0050557	congenital muscular dystrophy
DOID:0050558	Ullrich congenital muscular dystrophy
DOID:0050559	Fukuyama congenital muscular dystrophy
DOID:0050560	Walker-Warburg syndrome
DOID:0050561	Lennox-Gastaut syndrome
DOID:0050562	West syndrome
DOID:0050563	nonsyndromic deafness
DOID:0050564	autosomal dominant nonsyndromic deafness
DOID:0050565	autosomal recessive nonsyndromic deafness
DOID:0050566	X-linked nonsyndromic deafness
DOID:0050567	orofacial cleft
DOID:0050568	spondylocostal dysostosis
DOID:0050569	Seckel syndrome
DOID:0050570	congenital disorder of glycosylation type I
DOID:0050571	congenital disorder of glycosylation type II
DOID:0050572	cone-rod dystrophy
DOID:0050573	2-hydroxyglutaric aciduria
DOID:0050574	L-2-hydroxyglutaric aciduria
DOID:0050575	D-2-hydroxyglutaric aciduria
DOID:0050576	Senior-Loken syndrome
DOID:0050577	Sensenbrenner syndrome
DOID:0050578	occult macular dystrophy
DOID:0050579	glycogen storage disease XV
DOID:0050580	hereditary lymphedema
DOID:0050581	brachydactyly
DOID:0050583	Chlamydophila pneumoniae infectious disease
DOID:0050584	gummatous syphilis
DOID:0050585	congenital generalized lipodystrophy
DOID:0050587	trichotillomania
DOID:0050588	muscular dystrophy-dystroglycanopathy
DOID:0050589	inflammatory bowel disease
DOID:0050590	severe congenital neutropenia
DOID:0050591	tooth agenesis
DOID:0050592	asphyxiating thoracic dystrophy
DOID:0050593	primary congenital glaucoma
DOID:0050594	glycogen storage disease IX
DOID:0050595	mucormycosis
DOID:0050596	taeniasis
DOID:0050597	intestinal schistosomiasis
DOID:0050598	extrapulmonary tuberculosis
DOID:0050599	abdominal tuberculosis
DOID:0050600	ABCD syndrome
DOID:0050601	ADULT syndrome
DOID:0050602	triple-A syndrome
DOID:0050603	acheiropody
DOID:0050604	acrocapitofemoral dysplasia
DOID:0050605	acrodermatitis enteropathica
DOID:0050606	acrokeratosis verruciformis
DOID:0050608	Askin's tumor
DOID:0050610	oral cavity carcinoma in situ
DOID:0050611	pharynx carcinoma in situ
DOID:0050612	gall bladder carcinoma in situ
DOID:0050613	bile duct carcinoma in situ
DOID:0050614	bronchus carcinoma in situ
DOID:0050615	respiratory system cancer
DOID:0050616	malignant Leydig cell tumor
DOID:0050617	malignant Sertoli cell tumor
DOID:0050618	malignant Sertoli-Leydig cell tumor
DOID:0050619	paranasal sinus cancer
DOID:0050620	infiltrating renal pelvis transitional cell carcinoma
DOID:0050621	respiratory system benign neoplasm
DOID:0050622	reproductive organ benign neoplasm
DOID:0050623	bladder benign neoplasm
DOID:0050624	gastrointestinal system benign neoplasm
DOID:0050625	biliary tract neoplasm
DOID:0050626	gastrointestinal neuroendocrine tumor
DOID:0050628	advanced sleep phase syndrome
DOID:0050629	Aicardi-Goutieres syndrome
DOID:0050630	Aland Island eye disease
DOID:0050631	Allan-Herndon-Dudley syndrome
DOID:0050632	oculocutaneous albinism
DOID:0050633	ocular albinism
DOID:0050634	alopecia universalis
DOID:0050635	alternating hemiplegia of childhood
DOID:0050636	familial visceral amyloidosis
DOID:0050637	Finnish type amyloidosis
DOID:0050638	transthyretin amyloidosis
DOID:0050639	primary cutaneous amyloidosis
DOID:0050640	anauxetic dysplasia 1
DOID:0050641	Rh deficiency syndrome
DOID:0050642	hypochromic microcytic anemia
DOID:0050643	anonychia congenita
DOID:0050644	arterial calcification of infancy
DOID:0050645	arterial tortuosity syndrome
DOID:0050646	distal arthrogryposis
DOID:0050647	Arts syndrome
DOID:0050648	atelosteogenesis
DOID:0050649	atransferrinemia
DOID:0050650	familial atrial fibrillation
DOID:0050651	atrioventricular septal defect
DOID:0050652	soft tissue cancer
DOID:0050653	dysplastic nevus
DOID:0050654	Baller-Gerold syndrome
DOID:0050655	Bamforth-Lazarus syndrome
DOID:0050656	pseudo-TORCH syndrome 1
DOID:0050657	Bannayan-Riley-Ruvalcaba syndrome
DOID:0050658	Bart-Pumphrey syndrome
DOID:0050659	biotin-responsive basal ganglia disease
DOID:0050660	Beare-Stevenson cutis gyrata syndrome
DOID:0050661	vitelliform macular dystrophy
DOID:0050662	bestrophinopathy
DOID:0050663	Bethlem myopathy
DOID:0050664	Bietti crystalline corneoretinal dystrophy
DOID:0050665	fetal alcohol syndrome
DOID:0050666	partial fetal alcohol syndrome
DOID:0050667	alcohol-related neurodevelopmental disorder
DOID:0050668	alcohol-related birth defect
DOID:0050669	spastic cerebral palsy
DOID:0050670	ataxic cerebral palsy
DOID:0050671	female breast cancer
DOID:0050672	dyskinetic cerebral palsy
DOID:0050673	mixed cerebral palsy
DOID:0050674	congenital bile acid synthesis defect
DOID:0050675	Birk-Barel syndrome
DOID:0050676	Birt-Hogg-Dube syndrome
DOID:0050677	Bjornstad syndrome
DOID:0050678	Blau syndrome
DOID:0050679	blue cone monochromacy
DOID:0050680	Boomerang dysplasia
DOID:0050681	Borjeson-Forssman-Lehmann syndrome
DOID:0050682	Athabaskan brainstem dysgenesis syndrome
DOID:0050683	Bothnia retinal dystrophy
DOID:0050684	Bowen-Conradi syndrome
DOID:0050685	small cell carcinoma
DOID:0050686	organ system cancer
DOID:0050687	cell type cancer
DOID:0050688	anal canal cancer
DOID:0050689	brachydactyly-syndactyly syndrome
DOID:0050690	brachyolmia
DOID:0050691	branchiooculofacial syndrome
DOID:0050692	Brody myopathy
DOID:0050693	Brooke-Spiegler syndrome
DOID:0050694	Brown-Vialetto-Van Laere syndrome
DOID:0050695	malignant pleural solitary fibrous tumor
DOID:0050696	fetal alcohol spectrum disorder
DOID:0050697	chorioamnionitis
DOID:0050698	funisitis
DOID:0050699	Dent disease
DOID:0050700	cardiomyopathy
DOID:0050701	electroclinical syndrome
DOID:0050702	neonatal period electroclinical syndrome
DOID:0050703	infancy electroclinical syndrome
DOID:0050704	childhood electroclinical syndrome
DOID:0050705	adolescence-adult electroclinical syndrome
DOID:0050706	variable age at onset electroclinical syndrome
DOID:0050707	nonsyndromic epilepsy
DOID:0050708	early onset absence epilepsy
DOID:0050709	Ohtahara syndrome
DOID:0050710	3-Methylcrotonyl-CoA carboxylase deficiency
DOID:0050711	aceruloplasminemia
DOID:0050712	AGAT deficiency
DOID:0050713	fatal infantile encephalocardiomyopathy
DOID:0050715	methylmalonic aciduria and homocystinuria type cblC
DOID:0050716	methylmalonic aciduria and homocystinuria type cblD
DOID:0050717	methylmalonic aciduria and homocystinuria type cblF
DOID:0050718	vitamin metabolic disorder
DOID:0050719	cerebral folate receptor alpha deficiency
DOID:0050720	ornithine translocase deficiency
DOID:0050721	serine deficiency
DOID:0050722	PHGDH deficiency
DOID:0050723	PSAT deficiency
DOID:0050724	PSPH deficiency
DOID:0050725	tyrosinemia type II
DOID:0050726	tyrosinemia type I
DOID:0050727	tyrosinemia type III
