DOID:0001816	DOID:1115 ! sarcoma
DOID:0050202	DOID:934 ! viral infectious disease
DOID:0050204	DOID:1884 ! viral hepatitis
DOID:0050211	DOID:8469 ! influenza
DOID:0050214	DOID:439 ! neuromuscular junction disease
DOID:0050218	DOID:1496 ! echinococcosis
DOID:0050222	DOID:11702 ! dysgammaglobulinemia
DOID:0050242	DOID:2789 ! parasitic protozoa infectious disease
DOID:0050246	DOID:2789 ! parasitic protozoa infectious disease
DOID:0050250	DOID:883 ! parasitic helminthiasis infectious disease
DOID:0050251	DOID:883 ! parasitic helminthiasis infectious disease
DOID:0050253	DOID:883 ! parasitic helminthiasis infectious disease
DOID:0050254	DOID:883 ! parasitic helminthiasis infectious disease
DOID:0050256	DOID:883 ! parasitic helminthiasis infectious disease
DOID:0050259	DOID:883 ! parasitic helminthiasis infectious disease
DOID:0050260	DOID:883 ! parasitic helminthiasis infectious disease
DOID:0050261	DOID:883 ! parasitic helminthiasis infectious disease
DOID:0050266	DOID:4110 ! parasitic ectoparasitic infectious disease
DOID:0050268	DOID:11080 ! myiasis
DOID:0050278	DOID:0050135 ! subcutaneous mycosis
DOID:0050279	DOID:0050135 ! subcutaneous mycosis
DOID:0050288	DOID:2473 ! opportunistic mycosis
DOID:0050289	DOID:2473 ! opportunistic mycosis
DOID:0050290	DOID:2473 ! opportunistic mycosis
DOID:0050291	DOID:1398 ! parasitic infectious disease
DOID:0050292	DOID:0050136 ! systemic mycosis
DOID:0050304	DOID:9835 ! refractive error
DOID:0050308	DOID:11320 ! Kyasanur forest disease
DOID:0050328	DOID:1459 ! hypothyroidism
DOID:0050331	DOID:0050736 ! autosomal dominant disease
DOID:0050332	DOID:3426 ! vestibular disease
DOID:0050335	DOID:5679 ! retinal disease
DOID:0050336	DOID:2485 ! phosphorus metabolism disease
DOID:0050338	DOID:104 ! bacterial infectious disease
DOID:0050339	DOID:104 ! bacterial infectious disease
DOID:0050340	DOID:104 ! bacterial infectious disease
DOID:0050352	DOID:11976 ! botulism
DOID:0050353	DOID:11976 ! botulism
DOID:0050354	DOID:11976 ! botulism
DOID:0050382	DOID:2123 ! tularemia
DOID:0050383	DOID:2123 ! tularemia
DOID:0050387	DOID:4455 ! hereditary renal cell carcinoma
DOID:0050398	DOID:11102 ! bartonellosis
DOID:0050419	DOID:626 ! complement deficiency
DOID:0050424	DOID:0050736 ! autosomal dominant disease
DOID:0050425	DOID:331 ! central nervous system disease
DOID:0050426	DOID:37 ! skin disease
DOID:0050427	DOID:0050737 ! autosomal recessive disease
DOID:0050428	DOID:3390 ! palmoplantar keratosis
DOID:0050429	DOID:9182 ! pemphigus
DOID:0050430	DOID:0050736 ! autosomal dominant disease
DOID:0050431	DOID:0060036 ! intrinsic cardiomyopathy
DOID:0050432	DOID:0060041 ! autism spectrum disorder
DOID:0050433	DOID:649 ! prion disease
DOID:0050434	DOID:2843 ! long QT syndrome
DOID:0050436	DOID:0050737 ! autosomal recessive disease
DOID:0050437	DOID:3211 ! lysosomal storage disease
DOID:0050438	DOID:0050736 ! autosomal dominant disease
DOID:0050439	DOID:0050737 ! autosomal recessive disease
DOID:0050440	DOID:811 ! lipodystrophy
DOID:0050441	DOID:1927 ! sphingolipidosis
DOID:0050444	DOID:906 ! peroxisomal disease
DOID:0050445	DOID:10609 ! rickets
DOID:0050448	DOID:37 ! skin disease
DOID:0050449	DOID:0050736 ! autosomal dominant disease
DOID:0050450	DOID:447 ! renal tubular transport disease
DOID:0050451	DOID:10273 ! heart conduction disease
DOID:0050452	DOID:906 ! peroxisomal disease
DOID:0050453	DOID:2490 ! congenital nervous system abnormality
DOID:0050454	DOID:2490 ! congenital nervous system abnormality
DOID:0050456	DOID:0050338 ! primary bacterial infectious disease
DOID:0050457	DOID:12336 ! male infertility
DOID:0050458	DOID:4972 ! myelodysplastic/myeloproliferative neoplasm
DOID:0050459	DOID:2485 ! phosphorus metabolism disease
DOID:0050460	DOID:0060388 ! chromosomal deletion syndrome
DOID:0050461	DOID:3211 ! lysosomal storage disease
DOID:0050462	DOID:0050737 ! autosomal recessive disease
DOID:0050463	DOID:2256 ! osteochondrodysplasia
DOID:0050464	DOID:9455 ! lipid storage disease
DOID:0050465	DOID:3883 ! Lynch syndrome
DOID:0050466	DOID:0050736 ! autosomal dominant disease
DOID:0050467	DOID:37 ! skin disease
DOID:0050468	DOID:225 ! syndrome
DOID:0050469	DOID:0050736 ! autosomal dominant disease
DOID:0050470	DOID:0050737 ! autosomal recessive disease
DOID:0050471	DOID:0050736 ! autosomal dominant disease
DOID:0050472	DOID:0050736 ! autosomal dominant disease
DOID:0050473	DOID:0050737 ! autosomal recessive disease
DOID:0050474	DOID:0050737 ! autosomal recessive disease
DOID:0050475	DOID:0050739 ! autosomal genetic disease
DOID:0050476	DOID:3146 ! lipid metabolism disorder
DOID:0050477	DOID:447 ! renal tubular transport disease
DOID:0050480	DOID:11256 ! typhus
DOID:0050481	DOID:11256 ! typhus
DOID:0050484	DOID:11104 ! spotted fever
DOID:0050485	DOID:0050338 ! primary bacterial infectious disease
DOID:0050486	DOID:37 ! skin disease
DOID:0050487	DOID:0050486 ! exanthem
DOID:0050488	DOID:9856 ! congenital syphilis
DOID:0050489	DOID:12176 ! goiter
DOID:0050490	DOID:9988 ! tertiary neurosyphilis
DOID:0050491	DOID:9988 ! tertiary neurosyphilis
DOID:0050495	DOID:934 ! viral infectious disease
DOID:0050508	DOID:8736 ! smallpox
DOID:0050513	DOID:0050515 ! paralytic poliomyelitis
DOID:0050514	DOID:0050515 ! paralytic poliomyelitis
DOID:0050515	DOID:4953 ! poliomyelitis
DOID:0050516	DOID:934 ! viral infectious disease
DOID:0050517	DOID:934 ! viral infectious disease
DOID:0050518	DOID:934 ! viral infectious disease
DOID:0050521	DOID:934 ! viral infectious disease
DOID:0050522	DOID:11266 ! hemorrhagic fever with renal syndrome
DOID:0050523	DOID:715 ! T-cell leukemia
DOID:0050524	DOID:630 ! genetic disease
DOID:0050526	DOID:225 ! syndrome
DOID:0050528	DOID:0050737 ! autosomal recessive disease
DOID:0050529	DOID:0060160 ! survival motor neuron spinal muscular atrophy
DOID:0050530	DOID:0060160 ! survival motor neuron spinal muscular atrophy
DOID:0050534	DOID:8499 ! night blindness
DOID:0050535	DOID:2462 ! retinal vascular disease
DOID:0050536	DOID:0050737 ! autosomal recessive disease
DOID:0050537	DOID:83 ! cataract
DOID:0050538	DOID:10595 ! Charcot-Marie-Tooth disease
DOID:0050539	DOID:10595 ! Charcot-Marie-Tooth disease
DOID:0050540	DOID:10595 ! Charcot-Marie-Tooth disease
DOID:0050541	DOID:10595 ! Charcot-Marie-Tooth disease
DOID:0050542	DOID:10595 ! Charcot-Marie-Tooth disease
DOID:0050543	DOID:10595 ! Charcot-Marie-Tooth disease
DOID:0050544	DOID:9252 ! amino acid metabolic disorder
DOID:0050545	DOID:0080015 ! physical disorder
DOID:0050546	DOID:9553 ! adrenal gland disease
DOID:0050547	DOID:3973 ! thyroid medullary carcinoma
DOID:0050548	DOID:870 ! neuropathy
DOID:0050549	DOID:225 ! syndrome
DOID:0050553	DOID:0050737 ! autosomal recessive disease
DOID:0050554	DOID:8955 ! sideroblastic anemia
DOID:0050556	DOID:0050950 ! autosomal recessive cerebellar ataxia
DOID:0050557	DOID:9884 ! muscular dystrophy
DOID:0050558	DOID:0050557 ! congenital muscular dystrophy
DOID:0050559	DOID:0050557 ! congenital muscular dystrophy
DOID:0050560	DOID:0050557 ! congenital muscular dystrophy
DOID:0050561	DOID:0050704 ! childhood electroclinical syndrome
DOID:0050562	DOID:0050703 ! infancy electroclinical syndrome
DOID:0050563	DOID:2742 ! auditory system disease
DOID:0050564	DOID:0050563 ! nonsyndromic deafness
DOID:0050565	DOID:0050563 ! nonsyndromic deafness
DOID:0050566	DOID:0050563 ! nonsyndromic deafness
DOID:0050567	DOID:0080015 ! physical disorder
DOID:0050568	DOID:1934 ! dysostosis
DOID:0050569	DOID:0050737 ! autosomal recessive disease
DOID:0050570	DOID:5212 ! congenital disorder of glycosylation
DOID:0050571	DOID:5212 ! congenital disorder of glycosylation
DOID:0050572	DOID:8466 ! retinal degeneration
DOID:0050573	DOID:9252 ! amino acid metabolic disorder
DOID:0050574	DOID:0050573 ! 2-hydroxyglutaric aciduria
DOID:0050575	DOID:0050573 ! 2-hydroxyglutaric aciduria
DOID:0050576	DOID:0050737 ! autosomal recessive disease
DOID:0050577	DOID:0050737 ! autosomal recessive disease
DOID:0050578	DOID:4448 ! macular degeneration
DOID:0050579	DOID:2747 ! glycogen storage disease
DOID:0050580	DOID:4977 ! lymphedema
DOID:0050581	DOID:1934 ! dysostosis
DOID:0050584	DOID:8200 ! tertiary syphilis
DOID:0050585	DOID:811 ! lipodystrophy
DOID:0050587	DOID:10937 ! impulse control disorder
DOID:0050588	DOID:0050557 ! congenital muscular dystrophy
DOID:0050589	DOID:5295 ! intestinal disease
DOID:0050590	DOID:1227 ! neutropenia
DOID:0050591	DOID:1091 ! tooth disease
DOID:0050592	DOID:0050737 ! autosomal recessive disease
DOID:0050593	DOID:1686 ! glaucoma
DOID:0050594	DOID:2747 ! glycogen storage disease
DOID:0050596	DOID:883 ! parasitic helminthiasis infectious disease
DOID:0050597	DOID:1395 ! schistosomiasis
DOID:0050598	DOID:399 ! tuberculosis
DOID:0050599	DOID:0050598 ! extrapulmonary tuberculosis
DOID:0050600	DOID:0050737 ! autosomal recessive disease
DOID:0050601	DOID:0050736 ! autosomal dominant disease
DOID:0050602	DOID:0050737 ! autosomal recessive disease
DOID:0050603	DOID:2256 ! osteochondrodysplasia
DOID:0050604	DOID:2256 ! osteochondrodysplasia
DOID:0050605	DOID:896 ! metal metabolism disorder
DOID:0050606	DOID:161 ! keratosis
DOID:0050608	DOID:3369 ! Ewing sarcoma
DOID:0050610	DOID:8719 ! in situ carcinoma
DOID:0050611	DOID:8719 ! in situ carcinoma
DOID:0050612	DOID:8719 ! in situ carcinoma
DOID:0050613	DOID:8719 ! in situ carcinoma
DOID:0050614	DOID:8719 ! in situ carcinoma
DOID:0050615	DOID:0050686 ! organ system cancer
DOID:0050616	DOID:192 ! sex cord-gonadal stromal tumor
DOID:0050617	DOID:192 ! sex cord-gonadal stromal tumor
DOID:0050618	DOID:192 ! sex cord-gonadal stromal tumor
DOID:0050619	DOID:0050615 ! respiratory system cancer
DOID:0050620	DOID:5974 ! renal pelvis transitional cell carcinoma
DOID:0050621	DOID:0060085 ! organ system benign neoplasm
DOID:0050622	DOID:0060085 ! organ system benign neoplasm
DOID:0050623	DOID:731 ! urinary system benign neoplasm
DOID:0050624	DOID:0060085 ! organ system benign neoplasm
DOID:0050625	DOID:3117 ! hepatobiliary benign neoplasm
DOID:0050626	DOID:3119 ! gastrointestinal system cancer
DOID:0050628	DOID:535 ! sleep disorder
DOID:0050629	DOID:0050737 ! autosomal recessive disease
DOID:0050630	DOID:5614 ! eye disease
DOID:0050631	DOID:0050735 ! X-linked disease
DOID:0050632	DOID:0050737 ! autosomal recessive disease
DOID:0050633	DOID:5614 ! eye disease
DOID:0050634	DOID:987 ! alopecia
DOID:0050635	DOID:10969 ! hemiplegia
DOID:0050636	DOID:9120 ! amyloidosis
DOID:0050637	DOID:9120 ! amyloidosis
DOID:0050638	DOID:9120 ! amyloidosis
DOID:0050639	DOID:9120 ! amyloidosis
DOID:0050640	DOID:0080027 ! spondyloepimetaphyseal dysplasia
DOID:0050641	DOID:583 ! hemolytic anemia
DOID:0050642	DOID:11252 ! microcytic anemia
DOID:0050643	DOID:4123 ! nail disease
DOID:0050644	DOID:178 ! vascular disease
DOID:0050645	DOID:65 ! connective tissue disease
DOID:0050646	DOID:66 ! muscle tissue disease
DOID:0050647	DOID:0060309 ! syndromic X-linked intellectual disability
DOID:0050648	DOID:2256 ! osteochondrodysplasia
DOID:0050649	DOID:896 ! metal metabolism disorder
DOID:0050650	DOID:0060224 ! atrial fibrillation
DOID:0050651	DOID:1681 ! heart septal defect
DOID:0050654	DOID:11971 ! synostosis
DOID:0050655	DOID:1459 ! hypothyroidism
DOID:0050656	DOID:0050737 ! autosomal recessive disease
DOID:0050657	DOID:0050736 ! autosomal dominant disease
DOID:0050658	DOID:0050736 ! autosomal dominant disease
DOID:0050659	DOID:679 ! basal ganglia disease
DOID:0050660	DOID:0050736 ! autosomal dominant disease
DOID:0050661	DOID:4448 ! macular degeneration
DOID:0050662	DOID:4448 ! macular degeneration
DOID:0050663	DOID:0050557 ! congenital muscular dystrophy
DOID:0050664	DOID:8466 ! retinal degeneration
DOID:0050665	DOID:0050696 ! fetal alcohol spectrum disorder
DOID:0050666	DOID:0050696 ! fetal alcohol spectrum disorder
DOID:0050667	DOID:0050696 ! fetal alcohol spectrum disorder
DOID:0050668	DOID:0050696 ! fetal alcohol spectrum disorder
DOID:0050669	DOID:1969 ! cerebral palsy
DOID:0050670	DOID:1969 ! cerebral palsy
DOID:0050671	DOID:1612 ! breast cancer
DOID:0050672	DOID:1969 ! cerebral palsy
DOID:0050673	DOID:1969 ! cerebral palsy
DOID:0050674	DOID:1701 ! steroid inherited metabolic disorder
DOID:0050675	DOID:0050736 ! autosomal dominant disease
DOID:0050676	DOID:0050736 ! autosomal dominant disease
DOID:0050677	DOID:0050737 ! autosomal recessive disease
DOID:0050678	DOID:0050736 ! autosomal dominant disease
DOID:0050679	DOID:13911 ! achromatopsia
DOID:0050680	DOID:2256 ! osteochondrodysplasia
DOID:0050681	DOID:0060309 ! syndromic X-linked intellectual disability
DOID:0050682	DOID:0050737 ! autosomal recessive disease
DOID:0050683	DOID:8501 ! fundus dystrophy
DOID:0050684	DOID:0050737 ! autosomal recessive disease
DOID:0050685	DOID:305 ! carcinoma
DOID:0050686	DOID:162 ! cancer
DOID:0050687	DOID:162 ! cancer
DOID:0050688	DOID:5672 ! large intestine cancer
DOID:0050689	DOID:0050739 ! autosomal genetic disease
DOID:0050690	DOID:2256 ! osteochondrodysplasia
DOID:0050691	DOID:0050736 ! autosomal dominant disease
DOID:0050692	DOID:440 ! neuromuscular disease
DOID:0050693	DOID:0050736 ! autosomal dominant disease
DOID:0050694	DOID:0050736 ! autosomal dominant disease
DOID:0050695	DOID:5158 ! pleural cancer
DOID:0050696	DOID:0060038 ! specific developmental disorder
DOID:0050697	DOID:780 ! placenta disease
DOID:0050698	DOID:65 ! connective tissue disease
DOID:0050699	DOID:447 ! renal tubular transport disease
DOID:0050700	DOID:114 ! heart disease
DOID:0050701	DOID:1826 ! epilepsy
DOID:0050702	DOID:0050701 ! electroclinical syndrome
DOID:0050703	DOID:0050701 ! electroclinical syndrome
DOID:0050704	DOID:0050701 ! electroclinical syndrome
DOID:0050705	DOID:0050701 ! electroclinical syndrome
DOID:0050706	DOID:0050701 ! electroclinical syndrome
DOID:0050708	DOID:0050704 ! childhood electroclinical syndrome
DOID:0050709	DOID:0050702 ! neonatal period electroclinical syndrome
DOID:0050710	DOID:9252 ! amino acid metabolic disorder
DOID:0050711	DOID:2351 ! iron metabolism disease
DOID:0050712	DOID:0050798 ! cerebral creatine deficiency syndrome
DOID:0050713	DOID:700 ! mitochondrial metabolism disease
DOID:0050715	DOID:14749 ! methylmalonic acidemia
DOID:0050716	DOID:14749 ! methylmalonic acidemia
DOID:0050717	DOID:14749 ! methylmalonic acidemia
DOID:0050718	DOID:655 ! inherited metabolic disorder
DOID:0050719	DOID:0050718 ! vitamin metabolic disorder
DOID:0050720	DOID:9252 ! amino acid metabolic disorder
DOID:0050721	DOID:9252 ! amino acid metabolic disorder
DOID:0050722	DOID:0050721 ! serine deficiency
DOID:0050723	DOID:0050721 ! serine deficiency
DOID:0050724	DOID:0050721 ! serine deficiency
DOID:0050725	DOID:9275 ! tyrosinemia
DOID:0050726	DOID:9275 ! tyrosinemia
DOID:0050727	DOID:9275 ! tyrosinemia
DOID:0050728	DOID:2978 ! carbohydrate metabolic disorder
DOID:0050729	DOID:9455 ! lipid storage disease
DOID:0050730	DOID:700 ! mitochondrial metabolism disease
DOID:0050731	DOID:0050718 ! vitamin metabolic disorder
DOID:0050732	DOID:14749 ! methylmalonic acidemia
DOID:0050733	DOID:14749 ! methylmalonic acidemia
DOID:0050734	DOID:0050731 ! vitamin B12 deficiency
DOID:0050735	DOID:0050177 ! monogenic disease
DOID:0050736	DOID:0050739 ! autosomal genetic disease
DOID:0050737	DOID:0050739 ! autosomal genetic disease
DOID:0050738	DOID:0050177 ! monogenic disease
DOID:0050739	DOID:0050177 ! monogenic disease
DOID:0050740	DOID:225 ! syndrome
DOID:0050741	DOID:9973 ! substance dependence
DOID:0050742	DOID:9973 ! substance dependence
DOID:0050743	DOID:0060060 ! non-Hodgkin lymphoma
DOID:0050744	DOID:0060060 ! non-Hodgkin lymphoma
DOID:0050745	DOID:707 ! B-cell lymphoma
DOID:0050746	DOID:707 ! B-cell lymphoma
DOID:0050747	DOID:707 ! B-cell lymphoma
DOID:0050748	DOID:707 ! B-cell lymphoma
DOID:0050749	DOID:0050743 ! mature T-cell and NK-cell lymphoma
DOID:0050750	DOID:0050748 ! marginal zone B-cell lymphoma
DOID:0050751	DOID:1040 ! chronic lymphocytic leukemia
DOID:0050752	DOID:332 ! amyotrophic lateral sclerosis
DOID:0050753	DOID:2786 ! cerebellar disease
DOID:0050754	DOID:0050950 ! autosomal recessive cerebellar ataxia
DOID:0050755	DOID:0050950 ! autosomal recessive cerebellar ataxia
DOID:0050756	DOID:14503 ! neuronal ceroid lipofuscinosis
DOID:0050757	DOID:700 ! mitochondrial metabolism disease
DOID:0050758	DOID:3650 ! lactic acidosis
DOID:0050759	DOID:450 ! myotonic disease
DOID:0050760	DOID:423 ! myopathy
DOID:0050761	DOID:9120 ! amyloidosis
DOID:0050762	DOID:9252 ! amino acid metabolic disorder
DOID:0050763	DOID:225 ! syndrome
DOID:0050764	DOID:0060309 ! syndromic X-linked intellectual disability
DOID:0050765	DOID:1289 ! neurodegenerative disease
DOID:0050766	DOID:0050765 ! neuroacanthocytosis
DOID:0050767	DOID:2256 ! osteochondrodysplasia
DOID:0050768	DOID:700 ! mitochondrial metabolism disease
DOID:0050769	DOID:225 ! syndrome
DOID:0050770	DOID:0050736 ! autosomal dominant disease
DOID:0050771	DOID:0060084 ! cell type benign neoplasm
DOID:0050772	DOID:0050952 ! spastic ataxia
DOID:0050773	DOID:169 ! neuroendocrine tumor
DOID:0050774	DOID:0050737 ! autosomal recessive disease
DOID:0050775	DOID:2256 ! osteochondrodysplasia
DOID:0050776	DOID:0050889 ! non-syndromic intellectual disability
DOID:0050777	DOID:0060340 ! ciliopathy
DOID:0050778	DOID:0060340 ! ciliopathy
DOID:0050779	DOID:0050737 ! autosomal recessive disease
DOID:0050780	DOID:0050177 ! monogenic disease
DOID:0050781	DOID:0050735 ! X-linked disease
DOID:0050782	DOID:225 ! syndrome
DOID:0050783	DOID:2377 ! multiple sclerosis
DOID:0050784	DOID:2377 ! multiple sclerosis
DOID:0050785	DOID:2377 ! multiple sclerosis
DOID:0050786	DOID:0050736 ! autosomal dominant disease
DOID:0050787	DOID:0050736 ! autosomal dominant disease
DOID:0050788	DOID:0050736 ! autosomal dominant disease
DOID:0050789	DOID:0050736 ! autosomal dominant disease
DOID:0050790	DOID:0050737 ! autosomal recessive disease
DOID:0050791	DOID:3765 ! pseudohermaphroditism
DOID:0050792	DOID:0050736 ! autosomal dominant disease
DOID:0050793	DOID:10273 ! heart conduction disease
DOID:0050794	DOID:1934 ! dysostosis
DOID:0050795	DOID:5679 ! retinal disease
DOID:0050796	DOID:0050737 ! autosomal recessive disease
DOID:0050797	DOID:906 ! peroxisomal disease
DOID:0050798	DOID:9252 ! amino acid metabolic disorder
DOID:0050799	DOID:0050798 ! cerebral creatine deficiency syndrome
DOID:0050800	DOID:0050798 ! cerebral creatine deficiency syndrome
DOID:0050801	DOID:987 ! alopecia
DOID:0050802	DOID:13359 ! Ehlers-Danlos syndrome
DOID:0050803	DOID:3068 ! glioblastoma multiforme
DOID:0050804	DOID:3068 ! glioblastoma multiforme
DOID:0050805	DOID:3068 ! glioblastoma multiforme
DOID:0050806	DOID:3068 ! glioblastoma multiforme
DOID:0050807	DOID:0050737 ! autosomal recessive disease
DOID:0050809	DOID:12798 ! mucopolysaccharidosis
DOID:0050810	DOID:5113 ! nutritional deficiency disease
DOID:0050811	DOID:1701 ! steroid inherited metabolic disorder
DOID:0050812	DOID:0080027 ! spondyloepimetaphyseal dysplasia
DOID:0050813	DOID:0080027 ! spondyloepimetaphyseal dysplasia
DOID:0050814	DOID:0050737 ! autosomal recessive disease
DOID:0050815	DOID:1492 ! eye and adnexa disease
DOID:0050816	DOID:0050737 ! autosomal recessive disease
DOID:0050817	DOID:10871 ! age related macular degeneration
DOID:0050818	DOID:0050731 ! vitamin B12 deficiency
DOID:0050819	DOID:0050739 ! autosomal genetic disease
DOID:0050820	DOID:10273 ! heart conduction disease
DOID:0050821	DOID:0050820 ! atrioventricular block
DOID:0050822	DOID:0050820 ! atrioventricular block
DOID:0050823	DOID:0050820 ! atrioventricular block
DOID:0050824	DOID:10273 ! heart conduction disease
DOID:0050825	DOID:114 ! heart disease
DOID:0050826	DOID:4079 ! heart valve disease
DOID:0050827	DOID:4079 ! heart valve disease
DOID:0050828	DOID:178 ! vascular disease
DOID:0050829	DOID:1287 ! cardiovascular system disease
DOID:0050830	DOID:0050828 ! artery disease
DOID:0050831	DOID:1289 ! neurodegenerative disease
DOID:0050832	DOID:655 ! inherited metabolic disorder
DOID:0050833	DOID:0050832 ! pyrimidine metabolic disorder
DOID:0050834	DOID:225 ! syndrome
DOID:0050835	DOID:543 ! dystonia
DOID:0050836	DOID:543 ! dystonia
DOID:0050837	DOID:543 ! dystonia
DOID:0050838	DOID:543 ! dystonia
DOID:0050839	DOID:0050836 ! focal dystonia
DOID:0050840	DOID:0050836 ! focal dystonia
DOID:0050841	DOID:0050836 ! focal dystonia
DOID:0050842	DOID:0050836 ! focal dystonia
DOID:0050843	DOID:0050836 ! focal dystonia
DOID:0050844	DOID:0050836 ! focal dystonia
DOID:0050845	DOID:0050836 ! focal dystonia
DOID:0050846	DOID:0050837 ! multifocal dystonia
DOID:0050847	DOID:535 ! sleep disorder
DOID:0050848	DOID:0050847 ! sleep apnea
DOID:0050849	DOID:10022 ! ampulla of Vater neoplasm
DOID:0050850	DOID:936 ! brain disease
DOID:0050851	DOID:2921 ! glomerulonephritis
DOID:0050852	DOID:326 ! ischemia
DOID:0050853	DOID:10128 ! venous insufficiency
DOID:0050854	DOID:0050736 ! autosomal dominant disease
DOID:0050855	DOID:557 ! kidney disease
DOID:0050856	DOID:0060038 ! specific developmental disorder
DOID:0050857	DOID:0050737 ! autosomal recessive disease
DOID:0050858	DOID:225 ! syndrome
DOID:0050859	DOID:1679 ! cystitis
DOID:0050860	DOID:4610 ! intestinal benign neoplasm
DOID:0050861	DOID:9256 ! colorectal cancer
DOID:0050862	DOID:345 ! uterine disease
DOID:0050863	DOID:12010 ! anterior ischemic optic neuropathy
DOID:0050864	DOID:12010 ! anterior ischemic optic neuropathy
DOID:0050865	DOID:5520 ! head and neck squamous cell carcinoma
DOID:0050866	DOID:8618 ! oral cavity cancer
DOID:0050867	DOID:225 ! syndrome
DOID:0050868	DOID:657 ! adenoma
DOID:0050869	DOID:657 ! adenoma
DOID:0050870	DOID:1324 ! lung cancer
DOID:0050871	DOID:0060084 ! cell type benign neoplasm
DOID:0050872	DOID:4556 ! lung large cell carcinoma
DOID:0050873	DOID:707 ! B-cell lymphoma
DOID:0050875	DOID:5409 ! lung small cell carcinoma
DOID:0050876	DOID:4138 ! bile duct disease
DOID:0050877	DOID:26 ! pancreas disease
DOID:0050879	DOID:0050953 ! X-linked hereditary ataxia
DOID:0050880	DOID:225 ! syndrome
DOID:0050881	DOID:225 ! syndrome
DOID:0050882	DOID:1441 ! autosomal dominant cerebellar ataxia
DOID:0050883	DOID:1289 ! neurodegenerative disease
