EFO:0000001	experimental factor
CHEBI:16411	indole-3-acetic acid
CHEBI:16412	lipopolysaccharide
CHEBI:16449	alanine
CHEBI:16467	L-arginine
CHEBI:16469	17beta-estradiol
CHEBI:16482	naphthalene
CHEBI:16522	trans-zeatin
CHEBI:16523	D-serine
CHEBI:16526	carbon dioxide
CHEBI:16587	20-hydroxyecdysone
CHEBI:16602	trichloroethylene
CHEBI:16605	allyl alcohol
CHEBI:16646	carbohydrate
CHEBI:16688	ecdysone
CHEBI:16716	benzene
CHEBI:16731	cinnamaldehyde
CHEBI:16737	creatinine
CHEBI:16738	2,4-dichlorophenol
CHEBI:16742	orotic acid
CHEBI:16794	scopolamine
CHEBI:16811	methionine
CHEBI:16814	dehydroepiandrosterone sulfate
CHEBI:16842	formaldehyde
CHEBI:16856	glutathione
CHEBI:16899	D-mannitol
CHEBI:16914	salicylic acid
CHEBI:16919	creatine
CHEBI:16979	benzene-1,2,4-triol
CHEBI:16990	bilirubin
CHEBI:16991	DNA
CHEBI:17002	cholesterol ester
CHEBI:17026	progesterone
CHEBI:17029	chitin
CHEBI:17089	glycoprotein
CHEBI:17158	methyl glyoxal
CHEBI:17160	17alpha-estradiol
CHEBI:17203	L-proline
CHEBI:17221	myrcene
CHEBI:17230	homocysteine
CHEBI:17234	glucose
CHEBI:17243	mono(2-ethylhexyl) phthalate
CHEBI:17245	carbon monoxide
CHEBI:17303	morphine
CHEBI:17327	phytol
CHEBI:17347	testosterone
CHEBI:17351	linoleic acid
CHEBI:17356	2-acetylaminofluorene
CHEBI:17362	quinoline
CHEBI:17489	3',5'-cyclic AMP
CHEBI:17561	L-cysteine
CHEBI:17632	nitrate
CHEBI:17636	sphingomyelin
CHEBI:17650	cortisol
CHEBI:17698	chloramphenicol
CHEBI:17741	N,N-dimethylformamide
CHEBI:17747	diethylhexyl phthalate
CHEBI:17761	ceramide
CHEBI:17790	methanol
CHEBI:17823	calcitriol
CHEBI:17833	gentamicin
CHEBI:17855	triglyceride
CHEBI:17883	hydrochloric acid
CHEBI:17925	alpha-D-glucose
CHEBI:17929	asymmetric dimethylarginine
CHEBI:17939	puromycin
CHEBI:17968	butyrate
CHEBI:17992	sucrose
CHEBI:18050	L-glutamine
CHEBI:18053	1-aminocyclopropane-1-carboxylic acid
CHEBI:18058	oxamic acid
CHEBI:18059	lipid
CHEBI:18145	(+)-alpha-tocopherol
CHEBI:18153	ethene
CHEBI:18154	polysaccharide
CHEBI:18185	gamma-tocopherol
CHEBI:18186	tyrosine
CHEBI:18208	benzylpenicillin
CHEBI:18212	selenite(2-)
CHEBI:18220	isoflavone
CHEBI:18222	xylose
CHEBI:18243	dopamine
CHEBI:18248	iron
CHEBI:18258	3,3',5-triiodo-L-thyronine
CHEBI:18292	jasmonic acid
CHEBI:18320	1,4-dithiothreitol
CHEBI:18406	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide
CHEBI:18422	sulphur dioxide
CHEBI:185922	5-fluorouridine
CHEBI:18723	nicotine
CHEBI:20000	3-dehydroteasterone
CHEBI:2038	5-azacytidine
CHEBI:20710	3-dehydro-6-deoxoteasterone
CHEBI:20712	6-deoxocastasterone
CHEBI:20714	6-deoxycathasterone
CHEBI:20717	6-deoxotyphasterol
CHEBI:21759	N-methyl-N'-nitro-N-nitrosoguanidine
CHEBI:22152	abscisic acid
CHEBI:22333	alkylating agent role
CHEBI:22470	alpha-tocopherol
CHEBI:22584	antimycin A
CHEBI:22586	antioxidant
CHEBI:22587	antiviral
CHEBI:22676	auxin role
CHEBI:22707	benzenetriols
CHEBI:22720	benzodiazepine
CHEBI:22907	bleomycin
CHEBI:22917	phytogenic insecticide
CHEBI:22977	cadmium
CHEBI:22978	cadmium compounds
CHEBI:22984	calcium
CHEBI:22986	calcium ionophore
CHEBI:23051	castasterone
CHEBI:23057	cathasterone
CHEBI:23354	coenzyme
CHEBI:23359	colchicine
CHEBI:23366	compatible osmolytes role
CHEBI:2341	AACOCF3
CHEBI:23414	copper(2+) sulfate
CHEBI:23527	cytochalasin B
CHEBI:23530	cytokinins
CHEBI:2360	abacavir
CHEBI:2365	(+)-abscisic acid
CHEBI:2376	acarbose
CHEBI:23888	drug
CHEBI:23924	enzyme inhibitor
CHEBI:23965	estradiol
CHEBI:23995	ethyl nitrosourea
CHEBI:24127	fungicide
CHEBI:24431	chemical entity
CHEBI:24432	biological role
CHEBI:24527	herbicide
CHEBI:2453	acyclovir
CHEBI:24532	organic heterocyclic compound
CHEBI:24621	hormone
CHEBI:24757	hypochlorous acid
CHEBI:24852	insecticide
CHEBI:24867	monoatomic ion
CHEBI:24937	jasmonic acids
CHEBI:25016	lead
CHEBI:2504	aflatoxin B1
CHEBI:25048	linolenic acid
CHEBI:25094	lysine
CHEBI:25107	magnesium
CHEBI:2511	agarose
CHEBI:25212	metabolite role
CHEBI:25255	methyl methanesulfonate
CHEBI:25350	mevalonate
CHEBI:25355	mitochondrial respiratory-chain inhibitor
CHEBI:25434	bis(2-chloroethyl) sulfide
CHEBI:25435	mutagen
CHEBI:254496	7,12-dimethylbenz(a)anthracene
CHEBI:25461	myxothiazol
CHEBI:2555	aldicarb
CHEBI:25555	nitrogen atom
CHEBI:2567	alendronic acid
CHEBI:25675	oligomycin
CHEBI:25682	symmetric dimethylarginine
CHEBI:25705	organochlorine pesticides
CHEBI:25812	ozone
CHEBI:26020	phosphate
CHEBI:26130	pigment
CHEBI:26155	plant growth regulator
CHEBI:26158	phytohormone
CHEBI:26216	potassium
CHEBI:2637	amikacin
CHEBI:26536	retinoic acid
CHEBI:2663	amiodarone
CHEBI:2666	amitriptyline
CHEBI:26710	sodium chloride
CHEBI:26711	sodium cholate
CHEBI:2676	amoxicillin
CHEBI:26764	steroid hormone
CHEBI:2682	amphotericin B
CHEBI:26863	teasterone
CHEBI:27026	toxin
CHEBI:27027	micronutrient
CHEBI:2704	anastrozole
CHEBI:27173	typhasterol
CHEBI:27226	uric acid
CHEBI:27300	Vitamin D
CHEBI:27363	Zinc
CHEBI:27385	tetrachloromethane
CHEBI:27407	kinetin
CHEBI:27432	alpha-linolenic acid {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
CHEBI:27436	methyltestosterone
CHEBI:27470	folic acid
CHEBI:27504	mitomycin C
CHEBI:27561	oxirane
CHEBI:27563	arsenic
CHEBI:27568	selenium
CHEBI:27573	silicon
CHEBI:27584	aldosterone
CHEBI:27594	carbon
CHEBI:27617	monensin A
CHEBI:27641	cycloheximide
CHEBI:27656	camptothecin
CHEBI:2766	aphidicolin
CHEBI:27666	actinomycin D
CHEBI:27690	acetazolamide
CHEBI:27698	Vanadium
CHEBI:27732	caffeine
CHEBI:27744	glyphosate
CHEBI:27779	griseofulvin
CHEBI:27780	detergent role
CHEBI:27823	5-HIAA
CHEBI:27881	resveratrol
CHEBI:27899	cisplatin
CHEBI:27902	tetracycline
CHEBI:27958	cocaine
CHEBI:27995	3-methylbenzyl alcohol
CHEBI:27999	tolbutamide
CHEBI:28001	vancomycin
CHEBI:28044	phenylalanine
CHEBI:28073	chromium
CHEBI:28077	rifampicin
CHEBI:28088	genistein
CHEBI:28119	2,3,7,8-tetrachlorodibenzodioxine
CHEBI:28125	all-cis-docosa-4,7,10,13,16,19-hexaenoic acid
CHEBI:28135	ponasterone A
CHEBI:28177	theophylline
CHEBI:28201	rotenone
CHEBI:28216	methyl mercuric(II) chloride
CHEBI:28240	dichloroacetate
CHEBI:28241	papaverine
CHEBI:2825	aristolochic acid
CHEBI:28262	dimethyl sulfoxide
CHEBI:28277	brassinolide
CHEBI:28285	oligomycin A
CHEBI:28300	glutamine
CHEBI:28364	all-cis-icosa-5,8,11,14,17-pentaenoic acid
CHEBI:28368	novobiocin
CHEBI:28445	vincristine
CHEBI:28462	ajmaline
CHEBI:28534	1,2-dibromoethane
CHEBI:28568	piperazine
CHEBI:28593	quinidine
CHEBI:28618	1,4-dichlorobenzene
CHEBI:28619	acrylamide
CHEBI:28640	lipoteichoic Acid
CHEBI:28659	phosphorus
CHEBI:28661	gamma-linolenic acid {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
CHEBI:28666	leukotriene D4
CHEBI:28680	cytarabine
CHEBI:28683	kynurenine {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
CHEBI:28689	dehydroepiandrosterone
CHEBI:28694	copper
CHEBI:28748	doxorubicin
CHEBI:28786	paraquat dichloride
CHEBI:28790	serotonin
CHEBI:28794	coumarin
CHEBI:28824	phytosterol
CHEBI:28833	gibberellin A3
CHEBI:28843	5-amino-1-(5-phospho-D-ribosyl)imidazole
CHEBI:28854	(2,4-dichlorophenoxy)acetic acid
CHEBI:28864	tobramycin
CHEBI:28885	butan-1-ol
CHEBI:28924	3-aminophenol
CHEBI:28938	ammonium
CHEBI:28939	N-acetyl-L-cysteine
CHEBI:28940	calciol
CHEBI:28971	ampicillin
CHEBI:28984	aluminium
CHEBI:29007	ceftriaxone
CHEBI:29022	N-benzyladenine
CHEBI:29073	L-ascorbic acid
CHEBI:29108	calcium(2+)
CHEBI:29321	sodium nitroprusside
CHEBI:29365	phosgene
CHEBI:29371	dioxygen(2+)
CHEBI:2948	azathioprine
CHEBI:2955	azithromycin
CHEBI:29655	neocarzinostatin chromophore
CHEBI:29678	sodium metaarsenite
CHEBI:29693	thiostrepton
CHEBI:29699	tunicamycin
CHEBI:2981	baicalin
CHEBI:29865	benzo(a)pyrene
CHEBI:29866	arsenite(3-)
CHEBI:30045	divanadium pentaoxide
CHEBI:30089	acetate
CHEBI:30114	aluminium trichloride
CHEBI:30145	lithium atom
CHEBI:3015	benomyl
CHEBI:3023	benzbromarone
CHEBI:30304	antimony(0)
CHEBI:30351	2,2'-bipyridine
CHEBI:30614	benzo(a)pyrene diolepoxide 1
CHEBI:30621	diarsenic trioxide
CHEBI:30660	thyroxine
CHEBI:30742	ethylene glycol
CHEBI:30746	benzoic acid
CHEBI:3090	bicalutamide
CHEBI:30911	glucitol
CHEBI:3092	bicuculline
CHEBI:31228	apomorphine hydrochloride
CHEBI:31355	carboplatin
CHEBI:3139	bleomycin A2
CHEBI:31593	fasudil hydrochloride
CHEBI:31604	ferric ammonium citrate
CHEBI:31638	fulvestrant
CHEBI:31690	imatinib methanesulfonate
CHEBI:31746	kainic acid
CHEBI:3179	bromobenzene
CHEBI:3182	bromocriptine methanesulfonate
CHEBI:31823	mercury dichloride
CHEBI:31882	N-methyl-D-aspartic acid
CHEBI:31899	nemonapride
CHEBI:31941	oxaliplatin
CHEBI:31991	phenol red
CHEBI:32030	potassium bromide
CHEBI:32063	propylparaben
CHEBI:32120	sapropterin dihydrochloride
CHEBI:32145	sodium hydroxide
CHEBI:32168	sulpiride
CHEBI:3237	butein
CHEBI:32497	thioacetamide
CHEBI:32509	pirinixic acid
CHEBI:32585	4-hydroxy-2-nonenal
CHEBI:32588	potassium chloride
CHEBI:32599	magnesium sulfate {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
CHEBI:32687	piperonylbutoxide
CHEBI:32692	4-(methylnitrosamino)-1-(3-pyridyl)-1-butanone
CHEBI:32902	gibberellin A4
CHEBI:32918	1-naphthylacetic acid
CHEBI:33083	fluroanthene
CHEBI:33097	P-nitrotoluene
CHEBI:33098	O-nitrotoluene
CHEBI:3312	calcium chloride
CHEBI:33130	aluminium hydroxide
CHEBI:33146	vanadyl sulfate
CHEBI:3319	calicheamicin gamma1(I)
CHEBI:33216	bisphenol A
CHEBI:33229	vitamin
CHEBI:33232	application
CHEBI:33250	element
CHEBI:33281	antimicrobial agent
CHEBI:33284	nutrient
CHEBI:33286	agrochemical role
CHEBI:33287	fertilizer
CHEBI:3347	candesartan
CHEBI:33568	adrenaline
CHEBI:33697	RNA
CHEBI:33699	messenger RNA
CHEBI:33709	amino acid
CHEBI:3380	captopril
CHEBI:3387	carbamazepine
CHEBI:3390	carbaryl
CHEBI:34005	(9R,13R)-12-oxo-phytodienoic acid
CHEBI:34165	16-ketoestradiol
CHEBI:3440	carvacrol
CHEBI:34440	4-nonylphenol
CHEBI:34631	chlorpyrifos
CHEBI:34648	clofibric acid
CHEBI:34682	diazinon
CHEBI:34687	dibutyl phthalate
CHEBI:34795	3-isobutyl-1-methyl-7H-xanthine
CHEBI:34839	methoprene
CHEBI:34873	N-nitrosodiethylamine
CHEBI:34892	nocodazole
CHEBI:34905	paraquat
CHEBI:34908	pentachloronitrobenzene
CHEBI:34911	permethrin
CHEBI:34988	sulmazole
CHEBI:3515	cefuroxime
CHEBI:35176	zinc sulfate
CHEBI:35195	surfactant role
CHEBI:35212	apratoxin A
CHEBI:35219	plant growth retardant
CHEBI:35221	antimetabolite role
CHEBI:35222	inhibitor role
CHEBI:35227	4-nitrotoluene
CHEBI:35260	1-benzofuran
CHEBI:35341	steroid
CHEBI:35366	fatty acid {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
CHEBI:35444	antinematodal drug
CHEBI:35446	polychlorinated biphenyls
CHEBI:35455	1-naphthyl isothiocyanate
CHEBI:35456	cadmium dichloride
CHEBI:35457	angiotensin-converting enzyme inhibitor
CHEBI:35469	antidepressant
CHEBI:35472	anti-inflammatory drug
CHEBI:35475	non-steroidal anti-inflammatory drug
CHEBI:35476	antipsychotic drug
CHEBI:35477	antimanic drug
CHEBI:35481	non-narcotic analgesic
CHEBI:35493	antipyretic
CHEBI:35522	beta-adrenergic agonist
CHEBI:35526	hypoglycemic drug
CHEBI:35544	cyclooxygenase inhibitor
CHEBI:35546	perfluorodecanoic acid
CHEBI:35553	perhexiline
CHEBI:35554	cardiovascular drug
CHEBI:35559	furan
CHEBI:35569	alpha-adrenergic agonist
CHEBI:35591	pregnenolone 16alpha-carbonitrile
CHEBI:35595	isoxazole
CHEBI:35610	antineoplastic agent
CHEBI:35620	vasodilator agent
CHEBI:35623	anticonvulsant
CHEBI:35640	adrenergic uptake inhibitor
CHEBI:35666	thiopurines
CHEBI:35679	antilipemic drug
CHEBI:35696	cobalt dichloride
CHEBI:35703	xenobiotic
CHEBI:35705	immunosuppressive agent
CHEBI:35717	sedative drug
CHEBI:35718	antifungal drug
CHEBI:35807	N-nitrosodimethylamine
CHEBI:35821	anticholesteremic drug
CHEBI:35842	antirheumatic drug
CHEBI:36005	docosahexaenoic acid {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
CHEBI:36006	icosapentaenoic acid {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
CHEBI:36047	antibacterial drug
CHEBI:36080	protein
CHEBI:3614	chlorhexidine
CHEBI:3638	chloroquine
CHEBI:36383	strontium chloride
CHEBI:3647	chlorpromazine
CHEBI:3650	chlorpropamide
CHEBI:36779	sapphyrin
CHEBI:36799	campestanol
CHEBI:3699	cimetidine
CHEBI:3723	citalopram
CHEBI:37415	alpha-amanitin
CHEBI:3745	clindamycin
CHEBI:3750	clofibrate
CHEBI:37537	phorbol 13-acetate 12-myristate
CHEBI:3755	clomipramine hydrochloride
CHEBI:37550	sphingosine 1-phosphate
CHEBI:37577	chemical compound
CHEBI:37585	sodium dihydrogenphosphate
CHEBI:3764	clotrimazole
CHEBI:3766	clozapine
CHEBI:37671	(1->3)-beta-D-glucan
CHEBI:37684	mannose
CHEBI:37699	protein kinase inhibitor
CHEBI:37700	protein kinase C inhibitor
CHEBI:37733	cholinesterase inhibitor
CHEBI:37758	iodoform
CHEBI:37845	growth hormone
CHEBI:37848	plant growth hormone
CHEBI:37887	adrenergic antagonist
CHEBI:37890	alpha-adrenergic antagonist
CHEBI:37930	phenothiazine antipsychotic drug
CHEBI:37956	histamine antagonist
CHEBI:37960	dye role
CHEBI:37987	Cy3 dye
CHEBI:37989	Cy5 dye
CHEBI:379896	methyltrienolone
CHEBI:38000	uniconazole-P
CHEBI:38068	antimalarial
CHEBI:38070	anti-arrhythmia drug
CHEBI:38147	cardiotonic drug
CHEBI:38211	potassium bromate
CHEBI:38215	calcium channel blocker
CHEBI:38462	acetylcholinesterase inhibitor
CHEBI:38472	acetonitrile
CHEBI:38498	mitochondrial NADH:ubiquinone reductase inhibitor
CHEBI:38545	rosuvastatin
CHEBI:38559	cytochrome P450
CHEBI:38593	fenazaquin
CHEBI:38637	tyrosine kinase inhibitor
CHEBI:38786	phosmet
CHEBI:38828	non ionic surfactant role
CHEBI:38866	tetrafluoroethene
CHEBI:38870	inhalation anaesthetic
CHEBI:38877	intravenous anaesthetic
CHEBI:3892	adrenocorticotropic hormone
CHEBI:38940	sunitinib
CHEBI:39026	low-density lipoprotein
CHEBI:39116	pyrethroid ester insecticide
CHEBI:39177	(E)-clothianidin
CHEBI:39214	abamectin
CHEBI:39268	dibenzothiazepine
CHEBI:39352	dinitrophenol
CHEBI:39384	lufenuron
CHEBI:39548	atorvastatin
CHEBI:3962	curcumin
CHEBI:39867	valproic acid
CHEBI:40036	amitrole
CHEBI:4026	cyclophosphamide hydrate
CHEBI:4027	cyclophosphamide
CHEBI:40279	allopurinol
CHEBI:4031	cyclosporin A
CHEBI:4034	cyfluthrin
CHEBI:40909	azoxystrobin
CHEBI:41423	celecoxib
CHEBI:41500	4-phenylbutyric acid
CHEBI:41774	tamoxifen
CHEBI:41879	dexamethasone
CHEBI:41922	diethylstilbestrol
CHEBI:42017	2,4-dinitrophenol
CHEBI:42111	(R)-lactic acid
CHEBI:42191	ethylenediaminetetraacetic acid
CHEBI:42471	forskolin
CHEBI:42491	flavone
CHEBI:42549	3-(5-fluorouracil-1-yl)-L-alanine
CHEBI:42567	fisetin
CHEBI:42588	4-hydroxyphenyl retinamide
CHEBI:42638	flufenamic acid
CHEBI:42839	3'-amino-3'-deoxy-N(6),N(6)-dimethyladenosine
CHEBI:4315	danazol
CHEBI:4317	dantrolene
CHEBI:43415	dexibuprofen
CHEBI:4356	desferrioxamine B
CHEBI:43755	lisinopril
CHEBI:43876	(S)-alpha-methyl-4-carboxyphenylglycine
CHEBI:4393	(-)-demecolcine
CHEBI:44185	methotrexate
CHEBI:44423	hydroxyurea
CHEBI:44445	nimesulide
CHEBI:44526	10-trans,12-cis-octadecadienoic acid
CHEBI:44616	afimoxifene
CHEBI:44915	propofol
CHEBI:44975	1,10-phenanthroline
CHEBI:45081	pentamidine
CHEBI:4509	diclofenac sodium
CHEBI:45267	praziquantel
CHEBI:45783	imatinib
CHEBI:45863	paclitaxel
CHEBI:45951	trifluoperazine
CHEBI:45980	tacrine
CHEBI:46024	trichostatin A
CHEBI:46053	2,4,6-trinitrotoluene
CHEBI:46081	fluconazole
CHEBI:46195	paracetamol
CHEBI:46345	5-fluorouracil
CHEBI:46548	zardaverine
CHEBI:4657	disopyramide
CHEBI:4659	disulfiram
CHEBI:46661	asbestos
CHEBI:46793	polyethylene glycol
CHEBI:46859	polidocanol
CHEBI:46889	S-[2,3-bis(palmitoyloxy)propyl]-Cys-Ser-Lys-Lys-Lys-Lys
CHEBI:46938	zebularine {http://www.co-ode.org/patterns#createdBy="http://www.ebi.ac.uk/ontology/webulous#OPPL_pattern"}
CHEBI:47032	1-4-dioxane
CHEBI:47381	diclofenac
CHEBI:474053	cefazolin
CHEBI:474180	caspofungin
CHEBI:47426	furosemide
CHEBI:47499	imipramine
CHEBI:47519	cis-ketoconazole
CHEBI:47612	bezafibrate
CHEBI:47775	HDL cholesterol
CHEBI:47780	clomipramine
CHEBI:47804	dibenzazepines
CHEBI:47807	sulforaphane
CHEBI:4784	enalapril
CHEBI:48028	HC toxin
CHEBI:4806	epigallocatechin gallate
CHEBI:48218	antiseptic drug
CHEBI:48236	trichlorofluoromethane
CHEBI:48278	serotonergic drug
CHEBI:48279	serotonergic antagonist
CHEBI:48354	polar solvent role
CHEBI:48358	polar aprotic solvent role
CHEBI:4836	amphiprotic solvent role
CHEBI:48362	but-1-ene
CHEBI:48416	olmesartan
CHEBI:48432	angiotensin II
CHEBI:48558	roxindole
CHEBI:48561	dopaminergic antagonist
CHEBI:48574	phenylbutazone
CHEBI:48607	lithium chloride
CHEBI:4877	ethambutol
CHEBI:48843	sodium selenite
CHEBI:4885	ethionamide
CHEBI:48864	benzothiadiazole
CHEBI:48873	cholinergic antagonist
CHEBI:48876	muscarinic antagonist
CHEBI:48958	1,1'-azobis(N,N-dimethylformamide)
CHEBI:4903	17alpha-ethynylestradiol
CHEBI:4911	etoposide
CHEBI:4917	eugenol
CHEBI:4918	methyleugenol
CHEBI:49183	phosphatidylcholine
CHEBI:49375	dasatinib
CHEBI:4953	exemestane
CHEBI:49553	copper(II) chloride
CHEBI:49575	diazepam
CHEBI:49603	lapatinib
CHEBI:49662	indomethacin
CHEBI:49668	gefitinib
CHEBI:49747	methylmercury
CHEBI:4975	famotidine
CHEBI:49798	tetraethylenepentamine
CHEBI:4991	iron(III) dicitrate
CHEBI:5001	fenofibrate
CHEBI:5002	fenoldopam
CHEBI:50059	imidazole
CHEBI:50091	S-nitrosoglutathione
CHEBI:50095	bucladesine
CHEBI:50103	excitatory amino acid agonist
CHEBI:50112	sex hormone
CHEBI:50113	androgen
CHEBI:50114	estrogen
CHEBI:50122	rosiglitazone
CHEBI:50131	5-aza-2'-deoxycytidine
CHEBI:50138	1-(2,4-dichlorobenzyl)-1H-indazole-3-carboxylic acid
CHEBI:50144	sodium pyruvate
CHEBI:50148	fenpropimorph
CHEBI:50154	1,1-bis(2-aminoethyl)-2-hydroxy-3-oxotriazane
CHEBI:50159	canrenoate
CHEBI:50161	motexafin gadolinium
CHEBI:50177	dermatologic drug
CHEBI:50223	(+)-dexrazoxane
CHEBI:50249	anticoagulant
CHEBI:50266	prodrug role
CHEBI:50276	topoisomerase I inhibitor
CHEBI:50292	cadmium sulfate
CHEBI:50295	1,9-dideoxyforskolin
CHEBI:50370	parasympatholytic
CHEBI:50385	hemin
CHEBI:50469	phospholipase A2 inhibitor
CHEBI:50504	osmotic diuretic
CHEBI:50505	sweetening agent role
CHEBI:50514	vasoconstrictor agent
CHEBI:50527	arsenic oxide
CHEBI:50629	cyclooxygenase 2 inhibitor
CHEBI:50630	cyclooxygenase 1 inhibitor
CHEBI:50646	bone density conservation agent
CHEBI:50648	9-cis-retinoic acid
CHEBI:50667	mercaptopurine
CHEBI:50673	methimazole
CHEBI:50683	folic acid reductase inhibitor
CHEBI:50694	minocycline
CHEBI:50733	nutraceutical
CHEBI:50739	estrogen receptor modulator
CHEBI:50750	topoisomerase II inhibitor
CHEBI:50790	aromatase inhibitor
CHEBI:50792	estrogen receptor antagonist role
CHEBI:50842	norflurazon
CHEBI:50845	doxycycline
CHEBI:50855	antiatherogenic agent
CHEBI:50862	azinomycin B
CHEBI:50864	insulin-sensitizing drug
CHEBI:50866	3H-1,2-dithiole-3-thione
CHEBI:50867	ciprofibrate
CHEBI:50885	fludrocortisone
CHEBI:50904	allergenic agent
CHEBI:50919	antiemetic
CHEBI:5098	flucloxacillin
CHEBI:51065	dopamine agonist
CHEBI:51086	chemical role
CHEBI:5118	fluoxetine
CHEBI:5123	fluphenazine
CHEBI:5132	flutamide
CHEBI:51953	polyamide
